CustomerID,Lookalike_CustomerID,Similarity_Score
C0001,C0137,0.999567362853379
C0001,C0152,0.9976828713249932
C0001,C0056,0.9939465070361473
C0002,C0029,0.9998164613385201
C0002,C0199,0.9994902392200663
C0002,C0010,0.9993855771185838
C0003,C0095,0.9999989538238129
C0003,C0150,0.9999900049519272
C0003,C0144,0.999981447028915
C0004,C0067,0.9999925612108973
C0004,C0021,0.9998655690130588
C0004,C0075,0.999625100734789
C0005,C0130,0.9999953849248338
C0005,C0144,0.9999873569686522
C0005,C0150,0.9999778956667101
C0006,C0079,0.9998805962028247
C0006,C0117,0.9893342566876119
C0006,C0196,0.945939603614914
C0007,C0092,0.999998129945819
C0007,C0193,0.9999679390437886
C0007,C0085,0.9999627719734157
C0008,C0179,0.9994598484521651
C0008,C0194,0.998855319033354
C0008,C0154,0.9958263342887144
C0009,C0077,0.9999459397976959
C0009,C0142,0.9996405637746608
C0009,C0192,0.9995102963044927
C0010,C0029,0.9998736431878393
C0010,C0025,0.9996306569929816
C0010,C0002,0.9993855771185838
C0011,C0183,0.9996894719285149
C0011,C0048,0.9996869158827244
C0011,C0016,0.9996034119957732
C0012,C0102,0.999998902089237
C0012,C0136,0.9997370974351616
C0012,C0065,0.9995914692166582
C0013,C0045,0.9999927474922717
C0013,C0143,0.9999691684054363
C0013,C0153,0.9999528963514228
C0014,C0036,0.9999986627404106
C0014,C0132,0.9999504604160394
C0014,C0015,0.9999272428280314
C0015,C0058,0.9999999236801441
C0015,C0197,0.9999969740774369
C0015,C0131,0.9999726902326072
C0016,C0048,0.9999950692469755
C0016,C0183,0.9999947425550536
C0016,C0064,0.9998900002747239
C0017,C0162,0.9998835519176713
C0017,C0113,0.9998318530678927
C0017,C0093,0.9996748131087412
C0018,C0200,0.9999999588643381
C0018,C0170,0.999998670606392
C0018,C0182,0.99999780787016
C0019,C0172,0.9999840132068634
C0019,C0116,0.9586653499370068
C0019,C0034,0.8503797703779737
C0020,C0110,0.9999928650224725
C0020,C0078,0.9999023168980014
C0020,C0080,0.9998671636734605
